step,loss
0,-53273.2029
1,-64684.8857
2,-70339.2496
3,-74448.917
4,-77603.967
5,-79869.8312
6,-81796.1025
7,-82933.7623
8,-83813.3169
9,-84559.2681
10,-85211.5574
11,-85813.2998
12,-86219.7741
13,-86849.2401
14,-87373.4442
15,-87913.9288
16,-88505.9402
17,-89012.3624
18,-89459.7732
19,-89955.6308
20,-90408.0675
21,-90835.394
22,-91188.4636
23,-91647.2395
24,-92033.9063
25,-92435.6888
26,-92820.2817
27,-93098.2235
28,-93456.2595
29,-93782.6702
30,-94128.8585
31,-94387.5618
32,-94666.8519
33,-94971.553
34,-95246.7277
35,-95608.3773
36,-95802.0871
37,-96068.2284
38,-96293.7249
39,-96513.713
40,-96739.5959
41,-96943.743
42,-97180.9103
43,-97298.6264
44,-97527.7495
45,-97707.2727
46,-97888.337
47,-98111.5599
48,-98219.7747
49,-98456.9187
